age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,subscribed
41,blue-collar,divorced,basic.4y,unknown,yes,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
49,entrepreneur,married,university.degree,unknown,yes,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
49,technician,married,basic.9y,no,no,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
41,technician,married,professional.course,unknown,yes,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
45,blue-collar,married,basic.9y,unknown,yes,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
42,blue-collar,married,basic.9y,no,yes,yes,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
39,housemaid,married,basic.9y,no,yes,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
28,admin.,single,university.degree,unknown,yes,yes,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
44,services,married,high.school,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
42,technician,married,professional.course,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
42,management,married,university.degree,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
39,services,married,high.school,unknown,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
42,blue-collar,married,high.school,no,no,yes,5,tue,3,0,nonexistent,1.1,93.994,-36.4,yes
45,housemaid,married,professional.course,unknown,yes,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
31,admin.,single,university.degree,no,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
28,student,single,basic.9y,unknown,yes,yes,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
41,entrepreneur,married,university.degree,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
37,blue-collar,single,basic.9y,unknown,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
44,blue-collar,married,basic.4y,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
44,entrepreneur,married,basic.4y,unknown,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
54,admin.,divorced,university.degree,no,no,no,5,wed,4,0,nonexistent,1.1,93.994,-36.4,yes
42,services,married,professional.course,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
46,blue-collar,single,basic.9y,no,yes,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
32,blue-collar,married,professional.course,no,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
43,technician,single,university.degree,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
54,admin.,married,university.degree,no,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
50,technician,married,high.school,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
31,services,married,basic.6y,no,no,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
51,blue-collar,married,basic.9y,unknown,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
31,entrepreneur,divorced,high.school,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
41,services,divorced,high.school,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
32,admin.,married,university.degree,no,no,no,5,fri,4,0,nonexistent,1.1,93.994,-36.4,yes
33,services,married,high.school,unknown,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
38,management,married,basic.9y,unknown,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
60,housemaid,married,high.school,unknown,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
35,blue-collar,married,professional.course,no,yes,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
33,blue-collar,married,basic.6y,unknown,yes,yes,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
51,blue-collar,married,basic.9y,no,no,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
24,services,single,high.school,no,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
32,admin.,married,university.degree,no,no,yes,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
43,admin.,married,university.degree,unknown,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
44,blue-collar,single,basic.6y,unknown,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
59,management,married,university.degree,no,no,no,5,mon,5,0,nonexistent,1.1,93.994,-36.4,yes
24,services,single,high.school,no,no,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
39,admin.,married,university.degree,no,no,no,5,mon,6,0,nonexistent,1.1,93.994,-36.4,yes
41,admin.,single,university.degree,no,yes,yes,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
39,blue-collar,married,basic.9y,unknown,no,no,5,tue,4,0,nonexistent,1.1,93.994,-36.4,yes
32,admin.,single,university.degree,unknown,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
33,management,married,basic.4y,no,yes,yes,5,tue,4,0,nonexistent,1.1,93.994,-36.4,yes
38,management,married,basic.9y,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
